attendance_id,student_id,course_id,date,permission,absent_class_periods,reason
381,1911547275,100107462901,10/10/2022,2,0,
382,1911547275,100107462901,12/12/2022,2,0,
383,1911547275,100107462901,17/10/2022,2,0,
384,1911547275,100107462901,19/12/2022,2,0,
385,1911547275,100107462901,24/10/2022,2,0,
386,1911547275,100107462901,26/12/2022,2,0,
387,1911547275,100107462901,28/11/2022,2,0,
388,1911547275,100107462901,31/10/2022,2,0,
389,1911547275,100107462901,31/10/2022,2,0,
390,1911547710,100107462901,05/12/2022,2,0,
391,1911547710,100107462901,07/11/2022,2,0,
392,1911547710,100107462901,07/11/2022,2,0,
393,1911547710,100107462901,10/10/2022,2,0,
394,1911547710,100107462901,12/12/2022,2,0,
395,1911547710,100107462901,17/10/2022,2,0,
396,1911547710,100107462901,19/12/2022,2,0,
397,1911547710,100107462901,24/10/2022,2,0,
398,1911547710,100107462901,26/12/2022,2,0,
399,1911547710,100107462901,28/11/2022,2,0,
400,1911547710,100107462901,31/10/2022,2,0,
401,1911547710,100107462901,31/10/2022,2,0,
402,1911549027,100107462901,05/12/2022,2,0,
403,1911549027,100107462901,07/11/2022,2,0,
404,1911549027,100107462901,07/11/2022,2,0,
405,1911549027,100107462901,10/10/2022,2,0,
406,1911549027,100107462901,12/12/2022,2,0,
407,1911549027,100107462901,17/10/2022,2,0,
408,1911549027,100107462901,19/12/2022,2,0,
409,1911549027,100107462901,24/10/2022,2,0,
410,1911549027,100107462901,26/12/2022,2,0,
411,1911549027,100107462901,28/11/2022,2,0,
412,1911549027,100107462901,31/10/2022,2,0,
413,1911549027,100107462901,31/10/2022,2,0,
414,1911549123,100107462901,05/12/2022,2,0,
415,1911549123,100107462901,07/11/2022,2,0,
416,1911549123,100107462901,07/11/2022,2,0,
417,1911549123,100107462901,10/10/2022,2,0,
418,1911549123,100107462901,12/12/2022,2,0,
419,1911549123,100107462901,17/10/2022,2,0,
420,1911549123,100107462901,19/12/2022,2,0,
421,1911549123,100107462901,24/10/2022,2,0,
422,1911549123,100107462901,26/12/2022,2,0,
423,1911549123,100107462901,28/11/2022,2,0,
424,1911549123,100107462901,31/10/2022,2,0,
425,1911549123,100107462901,31/10/2022,2,0,
426,1911549351,100107462901,05/12/2022,2,0,
427,1911549351,100107462901,07/11/2022,2,0,
428,1911549351,100107462901,07/11/2022,2,0,
429,1911549351,100107462901,10/10/2022,2,0,
430,1911549351,100107462901,12/12/2022,2,0,
